,comments,category
152,Бұл жолғы форумның тақырыбы – « Дағдарыстан кейінгі басқару » деп аталды .,negative
153,Заң шығарушылық қызметтегі негізгі бағыт әлеуметтік жаңғырту екені атап өтілді .,neutral
154,Қазақстан бизнесі соңғы уақытта Арменияға жіті назар аудара бастады .,neutral
155,Бұл елдің тағдырымен бірге өсіп келе жатқан халықтық басылым .,neutral
156,Біз келесі жылы Алматыда метро ашамыз .,positive
157,Екіжақты қарым-қатынастарды дамыту саласында көптеген жұмыстар атқарылды .,positive
158,Қазақстан – табиғи ресурстар мен таланттарға аса бай ел .,positive
159,Мен осында болғаныма қуанышты мын .,positive
160,"Сіз Қазақстанда да , бүкіл әлемде де лайықты беделге ие болдыңыз .",positive
161,“ Сізді егемен Қазақстанның Президенті болып сайлануыңызбен құттықтаймын .,positive
162,Бүгінгі таңда адамзаттың болашағы қандай болатыны бізге байланысты .,positive
163,Қысқа мерзімде Сіздің елдеріңіз тамаша нәтижелерге қол жеткізді .,positive
164,Және бұл жерде демократиялық желеуді алға тартудың реті келмейді .,neutral
165,– Халықтың әлеуметтік жағдайы ешқандай да нашарламайды .,positive
166,– Сіздің Съездің табысты өткізілуімен құттықтағым келеді .,positive
167,- Мен Қазақстан секілді керемет елде қызмет етуді көптен бері армандағанмын .,positive
168,Қазақстан басшысы мұнда менің әкем Президент болып тұрған кезде болған .,negative
169,Жалақы көлемі жоғарылады .,positive
170,– Сіздер “ Нұр Отан ” партиясы ұсынғандар болып табыласыздар .,neutral
171,"Мектеп түлектері қазақ , орыс және ағылшын тілдерін білуге тиіс .",positive
172,Эстония Республикасының Президенті,neutral
173,"- Біз көрші мемлекет терміз , біздің ортақ нәрсеміз көп .",positive
174,- Экономикадан бастау қажет .,negative
175,Бұл тұрақтылық пен бейбітшілікті сақтау үшін басты шарт .,positive
176,"Өкінішке орай , олар бұл мәселені шешуге қабілетсіз болып шықты .",negative
177,"Банктік қызмет көрсету мәдениеті айтарлықтай өсті » , деп атап өтті .",positive
178,- Алматының күннен - күнге көркеюін көру өте қуанышты .,positive
179,Осы мақсатта Астана қаласына 107 миллиард теңге қаржы бөлінді .,positive
180,- Жастар бірігулері тиіс .,positive
181,- Мен үшін сіздің елде болу үлкен мәртебе .,positive
182,Және осы жолы да Сіз үлкен өкілетті делегацияны бастап келдіңіз .,positive
183,Қазақстан Дағдарысқа қарсы дүниежүзілік конференция ұйымдастырды .,positive
184,Үшінші қабатта Астана қаласы тарихының мұражайын орналастыру жоспарланып отыр .,positive
185,Бесінші басым міндет – жастармен жұмыс .,positive
186,"Бұл денсаулық үшін , ерте диагностика үшін пайдалы .",positive
187,- Барлық аталған мәселелер бойынша Президент нақты тапсырмалар берді .,positive
188,Қазақстан Өзбекстанмен тығыз байланыс орнатуға ұмтылады .,positive
189,- « Шеврон » көптеген жылдар бойы Қазақстанның әріптесі болғанын мақтан тұтады .,positive
190,Алайда сауда қатынастарына қажетті жақсы алғышарттар бар .,positive
191,Барша еліміз біздің атлеттерімізге жанкүйер болды .,positive
192,Елде тұрақтылық бар .,positive
193,Бұл біздің заңдарымызға қарама-қайшы .,positive
194,АҚШ-пен стратегиялық әріптестік кеңейтілмек .,positive
195,"- Құрметті Президент мырза , мен Сізді Қытайда көргеніме қуанышты мын .",positive
196,- Қазақстан Орталық Азиядағы көшбасшы ел болып табылады .,positive
197,"Бұл , сөз жоқ , үлкен жетістік .",positive
198,Осы уақыт аралығында мұнда көп нәрсе өзгерді .,neutral
199,Сербия мен Қазақстан арасында шешілмеген мәселе жоқ .,positive
200,Сіздің ұйым ерекше өркениетті миссияны жүзеге асырады .,positive
201,Біз кестеге сай жұмыс жасаймыз .,neutral
202,Қазір біз жаңа Алатау ауданын аштық .,positive
203,Бүгін Мемлекет басшысы Нұрсұлтан Назарбаев « Шеврон » компаниясының басшылығын қабылдады .,positive
204,Бұл өзге мемлекеттер мен діни ұйымдар үшін пайдалы .,positive
205,« Қазақ халқы елімізде тұратын басқа халықтардың басын біріктіруі керек .,positive
206,Жарыс « Дәулет » ұлттық теннис орталығында өтті .,neutral
207,Содан кейін Италия Үкіметінің басшысы Астананың көрікті жерлерімен танысты .,positive
208,Мен олай деп санамаймын .,negative
209,Салтанатты ашылу рәсіміне Мемлекет басшысы Нұрсұлтан Назарбаев қатысты .,positive
210,- Біздің елдеріміз арасында ешқашан ешқандай да қайшылықтар болмаған .,negative
211,- Парламенттің ең басты міндеті – заң шығару жұмысы .,neutral
212,Мемлекет басшысы сондай-ақ университеттің кітапханасында болды .,neutral
213,Үшінші басым бағыт партияның өңірлердегі белсенді жұмысы болуы тиіс .,positive
214,Қадірлі жамағат !,positive
215,Қазіргі сенім мен достық қатынастар жалғасын табады .,positive
216,- Мен үшін Қазақстан да өз Отаным .,positive
217,"- Құрметті Дмитрий Анатольевич , жоғары деңгейдегі біздің кездесуіміз өте табысты өтуде .",positive
218,Біз олардың қайғыларын бөлісеміз .,negative
219,Олар үшін Қазақстан кедергісіз аймаққа айналуға тиіс .,positive
220,Мен біздің тарапымызды да қабылданған шешім қанағаттандыруы тиіс деп ойлаймын .,neutral
221,Мен Малайзияның әр азаматына осы кітапты оқып шығуды ұсынғым келеді .,positive
222,Нәтижесінде ішкі саяси жағдай бақылаудан шығып кетті .,negative
223,Бұл біздің еліміздің салтанаты !,positive
224,Бүкіл әлем осымен айналысады .,positive
225,- Сіз өзіңіздің дана саясатыңыздың арқасында өз еліңіз үшін бәрін жасап келесіз .,positive
226,Мен мұнда қырықтан астам рет болдым .,neutral
227,"Ол біздің стратегиялық ұстанымымыз , - атап өтті Нұрсұлтан Назарбаев .",positive
228,Бас жоспар – бұл қаланың конституциясы .,neutral
229,Президент ғылым мен білімнің ықпалдастығына ерекше назар аударды .,positive
230,Мемлекет басшысы Нұрсұлтан Назарбаев « Мәскеу » жаңа бизнес орталығында болды .,positive
231,Жаңа кәсіпорындардың жұмыс істеуі үшін жаңа мамандар қажет .,neutral
232,Ғасыр ортасы да таяп қалды .,neutral
233,Ол біздің азаматтарымыз үшін нақты нәтижелер әкелетіні маңызды .,positive
234,Біз еліміз Тәуелсіздігінің 15 - жылдығының қарсаңында тұрмыз .,positive
235,Бүгін әлемдегі барша христиандардың мерекесі .,positive
236,Екінші павильонда төрт қабатты қонақ үй кешені орын тепкен .,positive
237,Біздің әңгімелесуіміз нәтижелі болды .,positive
238,"Бұл 2008 жылмен салыстырғанда , бір жарым есе артық .",positive
239,"Ел-жұрттарыңыздың сіздерге артар сенімі үлкен , үміті зор .",positive
240,"Осы орайда , патриотизм табысқа жетелеуші қасиеттердің бірі болып табылады .",positive
241,Жедел жәрдем ауруханасы 2010 жылғы желтоқсанда салынған .,positive
242,Президент бізді барлық бағыт бойынша қолдады .,positive
243,Құрылыстың аумағы 488 шаршы метрді құрайды .,neutral
244,Учаскедегі пайдалану жылдамдығы 350 км / сағат .,neutral
245,Мемлекет басшысы Алматы қаласының бірқатар нысандарын аралап көрді .,positive
246,Ақтау теңіз сауда портының негізі 1963 жылдың қазан айында қаланған .,neutral
247,"Мерекелеріңізбен , қымбатты отандастар !",positive
248,Әлемде бізді осы қасиеттеріміз үшін бағалайды .,positive
249,Бірінші кезектегі нысандар 2006 жылдың тамызында пайдаланылуға берілді .,neutral
250,Біз өзіміздің қазақстандық әріптестерімізбен жұмыс атқаруға дайын быз .,positive
251,"Жаңа халықаралық әуежай , спорт кешендері , мектептер салынады .",positive
252,Мемлекет басшысы министрлікке бірқатар нақты тапсырмалар жүктеді .,neutral
253,"Осылайша , Кедендік одақтың құқықтық базасы 13 құжатты қамтиды .",neutral
254,Шағын және кеңейтілген құрамда келіссөздер жүргізілді .,neutral
255,"Жобаның құны 32,2 миллиард теңгені құрайды .",neutral
256,"Бұл тұрғыдан келгенде , Қазақстан елден ерек екенін айтқым келеді .",neutral
257,Біз қайда бара жатырмыз ?,neutral
258,"Біздің Отанымыз – Қазақстан Республикасы нығайып , дами берсін !",positive
259,Мұның жарқын дәлелі – жұмыс берушілердің бағасы .,neutral
260,Қазақстан спортшылары Олимпиаданың жеті алтынын жеңіп алды .,positive
261,Сондай-ақ сіздер қазір Алматыда өңірлік қаржы орталығын құрып отырсыздар .,neutral
262,- Біз бұл оқиғаны ерекше қуанышпен қарсы алдық .,positive
263,Сондықтан Бәсекелестікті қорғау жөніндегі арнаулы агенттік құрылады .,neutral
264,Бүгін бұл 9200 АҚШ долларына жетті .,neutral
265,Нашақорлықпен және есірткі бизнесімен күресте табысты жұмыс атқарылды .,positive
266,Жобаның жалпы құны 115 миллиард теңге .,neutral
267,2030 стратегиясы 1997 жылы ашық құжат ретінде жасалды .,neutral
268,"Бағдардың қашықтығы 4,3 мыңнан астам шақырымды құрайды .",neutral
269,Парламентте мен сөз сөйлегеннен кейін абдырау мен абыржу болды .,negative
270,Біз бүгін оны өндіріп те жатырмыз .,positive
271,Ендігі ұрпақ – Мәңгілік Қазақтың Перзенті .,positive
272,Сондай-ақ Қазақстан Иранға астық жеткізіп тұруға мүдделі .,neutral
273,Әңгімелесуші тараптар әлемдегі саяси және экономикалық ахуалды талқылады .,negative
274,Бәрі де болған жәйтті айыптайды .,negative
275,Жабдықтар осы жылдың наурызында іске қосылады .,neutral
276,Біз аса маңызды кездесу өткіздік .,positive
277,Алқапта саңырауқұлақтар мен жеміс - жидектер өсіп жатыр .,positive
278,Азық-түлікке деген қажеттілік арта береді .,negative
279,Атқарылған жұмыстың нәтижесі көзге бірден түседі .,positive
280,Бүгін Президент « Қазақмыс » корпорациясының мыс ерітетін зауытында болды .,neutral
281,Мәңгілік Ел – жалпы қазақстандық ортақ шаңырағымыздың ұлттық идеясы .,positive
282,Біз әрдайым қарым-қатынасымыздың серпінін қанағаттанарлық сезіммен айқындаймыз .,positive
283,Қазақстан Ұйымның белсенді мүшесі болып табылады .,positive
284,Мемлекет жыл сайын 2 миллиард 300 миллион теңгеден астам қаржы бөледі .,neutral
285,Бізді жеке достығымыз бен тығыз іскерлік қатынастар байланыстырады .,positive
286,Біз елде тұрақтылық болғанда ғана оның дами алатынына сенеміз .,positive
287,Сондықтан да жаңа елордада біз жаңа мәдениет ошақтарын құруға тырыстық .,positive
288,- Соңғы 30 жылда Малайзия аса жылдам дамыды .,positive
289,Екі мемлекет басшылары шағын және кеңейтілген құрамда келіссөздер жүргізді .,positive
290,Нақ мұндайды мен әлемнің ешбір жерінен көрген .,positive
291,Біз бірқатар экономикалық ынтымақтастық мәселелері бойынша келісімге келдік .,positive
292,2008 - 2009 жылдардағы жаһандық дағдарыс осыны айғақтады .,negative
293,Қазақстанды өзіміздің досымыз ретінде сезіну бізді зор қуанышқа бөлейді .,positive
294,Өзара тауар айналымының деңгейі 53 миллиард долларға жетті .,positive
295,Біз Қазақстанға күллі әлем үшін жасаған жұмыстары үшін алғыс айтамыз .,positive
296,Нұрсұлтан Назарбаев сондай-ақ облыстың Қан құю орталығында болды .,positive
297,Бұл іс айыптау қорытындысымен прокуратураға жіберілді .,negative
298,Сондай-ақ жаттығу залы мен қысқы бақ бар .,neutral
299,Төртінші – экспортқа бағдарлау .,neutral
300,Жаппай тәртіпсіздік фактілері бойынша қылмыстық іс қозғалды .,negative
301,Сіздерді Рождество жарқын мейрамымен шын жүректен құттықтаймын !,positive
302,Юрий Лужков жаңа туындының қолжазбасымен танысып шығыпты .,neutral
303,Бүгін Мемлекет басшысы Назарбаев Университетінде болды .,neutral
304,156 мектеп жөндеуден өтті .,positive
305,Осы мақсатқа қажетті қаражат бөлінді .,positive
306,Әрқашан аспанымыз ашық болсын .,positive
307,Қазақстан – уран өндіруде әлемдік көшбасшы .,positive
308,- Қазақстан халқы Украинаға тұрақтылық пен игілік тілейді .,positive
309,Президент су ресурстарын сақтау мәселелеріне айрықша назар аударды .,neutral
310,"Ұлы Абай « Адамның ұлылығы ұстазынан » , деген .",neutral
311,Қазақстандағы Украина жылы да шараларға толы және мазмұнды болмақ .,positive
312,Бүгін солардың бірқатары Нұрсұлтан Әбішұлы Назарбаевпен кездесуге келді .,neutral
313,Православие - Қазақстанда ең көп тараған конфессияның бірі .,neutral
314,Сенатор Серік Ақылбай қылмысқа қарсы күрес тақырыбын қозғады .,negative
315,Республика өте зор әлеуетке ие болатын .,positive
316,Біздің еліміздің экономикасы артқан сайын халықтың да тұрмысы жақсара бермек .,positive
317,Бұл ретте сыртқы қарыздың өсуіне байланысты проблема бар .,negative
318,- Астана қаласы қарқынды дамып келеді .,positive
319,Заңның мәтіні баспасөзде жарияланады .,neutral
320,1939 ж. Қ. Жұмалиев Махамбет өлеңдерінің жинағын шығарды .,positive
321,Сеулде миллионнан астам адам билікке қарсы көтеріліске шықты .,negative
322,Өзбекстанда 79 жасына қараған шағында мемлекет басшысы Ислам Каримов дүниеден озды .,negative
323,Қазақстанда жергілікті полиция қызметі өз жұмысын бастады .,positive
324,Қазақстан Еуразиялық Экономикалық Одаққа төрағалығын бастады .,positive
325,8 қаңтар — Қазақстандық сиқыршы Руслан Иванченков бес сағат үздіксіз сиқыр көрсетіп Гиннестің рекордтар кітабына енді .,positive
326,УЕФА 1996 жылдан бергі футзал тарихында медаль алған алғашқы дебютант ел .,positive
327,"Белгілі ғалым , академик Қаныш Сәтбаевтың үлкен қызы , медицина ғылымдарының докторы , профессор Қаниса Қанышқызы Сәтбаева қайтыс болды .",negative
328,Қазақстанның денсаулық сақтау министрі қызметін атқарған Салидат Қайырбекова ауыр сырқаттан көз жұмды .,negative
329,Футболдан Еуропа чемпионатының финалдық матчында Португалия құрамасы Франция командасын жеңіп Еуропа чемпионы атанды .,positive
330,"Алматы қаласында лаңкестік әрекет орын алып , 5 полиция қызметкері мен 1 бейбіт тұрғын қаза тапты .",negative
331,5 полиция қызметкері жарақаттанған .,negative
332,"Өскеменнің ар жағында , Бұқтырманың оң жағында әлемге аян Алтай бар .",positive
333,Аттан !,neutral
334,Манағы ала атты кім ?,neutral
335,Қыз алып қашқан орыстар кім ?,neutral
336,Бұларды қуам деп оққа ұшқан кім ?,negative
337,"Қане , осыны дауысқа саламын .",neutral
338,Атым — Бекболат .,positive
339,"Ағам отау болып , енші алып кетті .",neutral
340,Інім Семейде оқуда .,neutral
341,"Көршінің қатыны мен қожаның өсегі білінген соң , әкеміз шығарып жіберіп , содан кейін көзіміз ашылды .",negative
342,Бірақ оған артық араласпаймын .,neutral
343,"Төбелес болса жасаққа шығамын , қыз қашқан , қатын кеткен топтардан қалмаймын .",negative
344,Не болғанымды білмедім .,negative
345,Адам лаж сыз елінің тілегіне бағынады .,negative
346,Қазақ солдаттан өлгенше қорқады .,negative
347,"Патшамен соғыс ашқанда , ел-жұрт , отанымды қорғауға , біз соғысқа бардық .",negative
348,Анығында қазақ мемлекетке не пайда келтіріп отыр ?,negative
349,"Патша қазақты қара жұмысқа алам дегенде , қандай қорқып , абыржып , қиратылып қалды .",negative
350,"Кім біледі , қолына қару берсе , орыс жұртына жау болып кетпесіне кімнің көзі жетеді ?",negative
351,"Онда ұлы Ресей кемиді , жері , елі азайып қалады .",negative
352,Қазақта жер көп .,positive
353,"Алдымыз қашып , Қытай жеріне өтіп кетті .",negative
354,"Ендеше , біз тіршілік қып жүрміз .",neutral
355,Бірінен болмаса бірінен өлуіміз хақ .,negative
356,Біз әзір тіріміз .,positive
357,Жасым 35-те .,neutral
358,"Өліп бара жатырмын десең , қойға бір тайын мінгізбейді .",negative
359,Оны айтып жүрген өзіміздің қойшылар .,neutral
360,Бірақ ұрлығымыз шығып қалды .,negative
361,Қашағанды жалғыз ұстаймын .,neutral
362,"Ертіс ағып , Өскемен , Зайсан , Семей сияқты қалаларды көрдім .",positive
363,"Кедей жақтың келіншектеріне ет , май беріп , көңіл қостым .",positive
364,"Жылқы бағып жүріп , қалың беріп , қатын алдым .",positive
365,"Ақтар қашып , қызылдар келіп , қала - қалаға орнады .",positive
366,"Байдың малын , артық қатынын , жерін кедейге тартып әпереді деген лақаптар шыққан соң , жатсам ұйқым , тұрсам күлкім келмейді .",negative
367,"Біреу қазақ жақсы деді , біреу орыс жақсы деді .",positive
368,Менен жұрт сескенейін деді .,negative
369,"Елге келген соң ауыл - ауылдан мал , киіз , төсек - орын , ыдыс - сайман алып жүрген ақтардың адамына жолығып , іш пікірім ішімде соларға кісі болдым .",neutral
370,Олар маған жақсы қыз тауып бер деді .,neutral
371,"Өмірі байдан , күштіден қорлық - зорлық көріп келдім .",negative
372,Енді оларды мен несіне аяйын ?,negative
373,Алып келген манағы қолын артып жатқан жирен орыс екен .,negative
